country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Eastern,Kailahun,577448,2,450409,103941,23098,0,0,23098
Sierra Leone,Eastern,Kenema,670313,1,623391,33516,13406,0,0,13406
Sierra Leone,Eastern,Kono,555881,1,483616,55588,16676,0,0,16676
Sierra Leone,Northern,Bombali,606183,1,509194,78804,18185,0,0,18185
Sierra Leone,Northern,Kambia,366034,1,307469,51245,7321,0,0,7321
Sierra Leone,Northern,Koinadugu,434633,1,373784,47810,13039,0,0,13039
Sierra Leone,Northern,Port Loko,633713,1,551330,69708,12674,0,0,12674
Sierra Leone,Northern,Tonkolili,547760,2,432730,109552,5478,0,0,5478
Sierra Leone,Southern,Bo,611538,1,532038,61154,18346,0,0,18346
Sierra Leone,Southern,Bonthe,213754,1,192379,19238,2138,0,0,2138
Sierra Leone,Southern,Moyamba,338746,2,247285,74524,16937,0,0,16937
Sierra Leone,Southern,Pujehun,356635,1,313839,35664,7133,0,0,7133
Sierra Leone,Western Area,Western Area Rur,457125,1,397699,54855,4571,0,0,4571
Sierra Leone,Western Area,Western Area Urb,NA,NA,NA,NA,NA,NA,NA,NA
