country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Sierra Leone,Southern,Bo,"651,302",2,"462,424","162,826","26,052",0,0,"26,052"
Sierra Leone,Northern Provinve,Tonkolili,"642,047",2,"333,864","276,080","32,102",0,0,"32,102"
Sierra Leone,Northern Province,Bombali,"687,579",2,"481,305","171,895","34,379",0,0,"34,379"
Sierra Leone,Southern,Bonthe,"227,683",2,"141,163","77,412","9,107",0,0,"9,107"
Sierra Leone,Eastern,Kailahun,"595,917",2,"297,959","268,163","29,796",0,0,"29,796"
Sierra Leone,Northern,Kambia,"389,835",2,"124,747","214,409","46,780","3,898",0,"50,679"
Sierra Leone,Eastern,Kenema,"691,764",2,"262,870","345,882","76,094","6,918",0,"83,012"
Sierra Leone,Northern Province,Koinadougu,"462,895",2,"240,705","199,045","23,145",0,0,"23,145"
Sierra Leone,Southern,Moyamaba,"360,772",2,"162,347","162,347","32,469","3,608",0,"36,077"
Sierra Leone,Southern,Pujehun,"391,980",2,"152,872","176,391","58,797","3,920",0,"62,717"
Sierra Leone,Northern,Port Loko,"696,517",2,"466,666","208,955","20,896",0,0,"20,896"
Sierra Leone,Eastern,Kono,"573,679",2,"206,524","315,523","45,894","5,737",0,"51,631"
Sierra Leone,Western Area,Western Rural,"502,429",2,"205,996","281,360","15,073",0,0,"15,073"
Sierra Leone,Western Area,Urban,"1,191,331",2,"595,666","536,099","59,567",0,0,"59,567"
