country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Chad,Ouaddai,Ouara,451360,2,306924.80000000005,103812.8,40622.4,0,0,40622.4
Chad,Ouaddai,Abdi,146789,2,95412.85,39633.030000000006,11743.12,0,0,11743.12
Chad,Ouaddai,Assoungha,392292,2,282450.24,82381.31999999999,27460.440000000002,0,0,27460.440000000002
Chad,Batha,Batha Est,247681,3,111456.44999999998,74304.3,56966.630000000005,4953.62,0,61920.25000000001
Chad,Batha,Batha Ouest,271536,2,152060.16,97752.95999999999,21722.88,0,0,21722.88
Chad,Batha,Fittri,151626,2,113719.5,33357.72,4548.78,0,0,4548.78
Chad,Wardi Fira,Biltine,232171,3,99833.52999999998,74294.72,53399.33,4643.42,0,58042.75
Chad,Wardi Fira,Dar Tama,246359,2,142888.22,68980.52,34490.26,0,0,34490.26
Chad,Wardi Fira,Iriba,191628,2,105395.4,57488.4,28744.2,0,0,28744.2
Chad,Wardi Fira,Megri,28050,2,14024.999999999996,9256.5,4488,280.5,0,4768.5
Chad,Guera,Guera,236837,2,142102.19999999998,63945.990000000005,30788.81,0,0,30788.81
Chad,Guera,Abtouyour,229951,2,149468.15,57487.75,22995.100000000002,0,0,22995.100000000002
Chad,Guera,Barh Signaka,142245,1,120908.25,21336.75,0,0,0,0
Chad,Guera,Mangalme,130344,3,69082.32,32586,28675.68,0,0,28675.68
Chad,Hajer Lamis,Dababa,313737,1,254126.97000000003,59610.03,0,0,0,0
Chad,Hajer Lamis,Dagana,258675,1,227634,31041,0,0,0,0
Chad,Hajer Lamis,Haraze Al Biar,206105,1,179311.35,26793.65,0,0,0,0
Chad,Moyen Chari,Bahr Koh,421322,1,358123.7,63198.299999999996,0,0,0,0
Chad,Moyen Chari,Grande Sido,147005,1,123484.2,23520.8,0,0,0,0
Chad,Moyen Chari,Lac Iro,239238,1,205744.68,33493.32,0,0,0,0
Chad,Salamat,Bahr Azoum,250241,1,225216.9,25024.100000000002,0,0,0,0
Chad,Salamat,Aboudeia,88829,1,75504.65,13324.35,0,0,0,0
Chad,Salamat,Haraze Mangueigne,76106,1,64690.1,11415.9,0,0,0,0
Chad,Sila,Kimiti,420165,1,357140.25,63024.75,0,0,0,0
Chad,Sila,Djourf Al Ahmar,111970,1,94054.8,17915.2,0,0,0,0
Chad,Logone Occidental,Dodje,146076,1,131468.4,14607.6,0,0,0,0
Chad,Logone Occidental,Gueni,126371,1,111206.48,15164.519999999999,0,0,0,0
Chad,Logone Occidental,Ngourkosso,218605,1,188000.3,30604.700000000004,0,0,0,0
Chad,Logone Occidental,Lac Wey,455273,1,386982.05,68290.95,0,0,0,0
Chad,Mandoul,Barh Sara,298370,1,247647.09999999998,50722.9,0,0,0,0
Chad,Mandoul,Mandoul Occidental,212461,1,184841.07,27619.93,0,0,0,0
Chad,Mandoul,Mandoul Oriental,351747,1,302502.42,49244.58,0,0,0,0
Chad,Logone Oriental,La Pende,220369,1,191721.03,28647.97,0,0,0,0
Chad,Logone Oriental,Kouh Est,139193,1,122489.84,16703.16,0,0,0,0
Chad,Logone Oriental,Kouh Ouest,68003,1,59162.61,8840.39,0,0,0,0
Chad,Logone Oriental,La Nya,193565,1,168401.55,25163.45,0,0,0,0
Chad,Logone Oriental,La Nya Pende,148450,1,123213.5,25236.5,0,0,0,0
Chad,Logone Oriental,Monts de Lam,300756,1,255642.6,45113.4,0,0,0,0
Chad,Chari-Baguirmi,BAGUIRMI,288029,1,256345.81,31683.19,0,0,0,0
Chad,Chari-Baguirmi,Chari,251197,1,226077.30000000002,25119.7,0,0,0,0
Chad,Chari-Baguirmi,LOUG CHARI,255177,1,229659.30000000002,25517.7,0,0,0,0
Chad,Mayo-Kebbi est,Mayo Boneye,324076,1,291668.4,32407.600000000002,0,0,0,0
Chad,Mayo-Kebbi est,La Kabbia,314278,1,267136.3,47141.7,0,0,0,0
Chad,Mayo-Kebbi est,Mayo Lemye,112688,1,94657.92,18030.08,0,0,0,0
Chad,Mayo-Kebbi est,MONT ILLI,313035,1,262949.39999999997,50085.6,0,0,0,0
Chad,Mayo-Kebbi Ouest,MAYO DALLAH,459735,1,404566.8,55168.2,0,0,0,0
Chad,Mayo-Kebbi Ouest,LAC LERE,240101,1,216090.9,24010.100000000002,0,0,0,0
Chad,Mayo-Kebbi Ouest,Mayo-Binder,75400,1,67106,8294,0,0,0,0
Chad,Tandjile,TANDJILE EST,349713,1,300753.18,48959.82000000001,0,0,0,0
Chad,Tandjile,TANDJILE CENTRE,120868,1,107572.52,13295.48,0,0,0,0
Chad,Tandjile,TANDJILE OUEST,438474,1,394626.60000000003,43847.4,0,0,0,0
Chad,Kanem,Kanem,210370,2,126222,63111,21037,0,0,21037
Chad,Kanem,Nord Kanem,124930,3,64963.600000000006,28733.9,29983.199999999997,1249.3,0,31232.499999999996
Chad,Kanem,Wadi Bissam,122570,2,64962.100000000006,46576.6,11031.3,0,0,11031.3
Chad,Lac,Mamdi,191845,3,101677.85,47961.25,40287.45,1918.45,0,42205.899999999994
