country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Chad,CHAR BAGUIRMI,BAGUIRMI,298114,1,244453.48,35773.68,17886.84,0,0,17886.84
Chad,CHAR BAGUIRMI,CHARI ,259993,1,231393.77,23399.37,5199.86,0,0,5199.86
Chad,CHAR BAGUIRMI,LOUG,264113,1,221854.92,29052.43,13205.65,0,0,13205.65
Chad,MAYO KEBBI EST,MAYO BONOYE,335424,1,278401.92,40250.88,16771.2,0,0,16771.2
Chad,MAYO KEBBI EST,KABBIA,325283,1,266732.06,48792.45,9758.49,0,0,9758.49
Chad,MAYO KEBBI EST,MAYO LEMIE,116634,1,99138.9,15162.42,2332.68,0,0,2332.68
Chad,MAYO KEBBI EST,MONT ILLI,323997,1,265677.54,45359.58,12959.88,0,0,12959.88
Chad,MAYO KEBBI OUEST,MAYO DALLAH,475834,1,404458.9,61858.42,9516.68,0,0,9516.68
Chad,MAYO KEBBI OUEST,LAC LERE,248509,1,216202.83,29821.08,2485.09,0,0,2485.09
Chad,MAYO KEBBI OUEST,MAYO BINDER,78041,1,67115.26,10145.33,780.41,0,0,780.41
Chad,TANDJILE,TANDJILE EST,361959,2,275088.84,68772.21,18097.95,0,0,18097.95
Chad,TANDJILE,TANDJILE CENTRE,125100,1,103833,18765,2502,0,0,2502
Chad,TANDJILE,TANDJILE OUEST,453828,1,385753.8,58997.64,9076.56,0,0,9076.56
Chad,Logone Oriental,Kouh Est,144067,1,118134.94,23050.72,2881.34,0,0,2881.34
Chad,Logone Oriental,Kouh Ouest,70385,2,52788.75,15484.7,2111.55,0,0,2111.55
Chad,Logone Oriental,Nya pendé,153648,2,113699.52,32266.08,7682.4,0,0,7682.4
Chad,Logone Oriental,Mont de Lam,311287,2,227239.51,68483.14,15564.35,0,0,15564.35
Chad,Logone Oriental,La Nya,200344,2,140240.8,48082.56,12020.64,0,0,12020.64
Chad,Logone Oriental,Pendé,228085,2,161940.35,52459.55,13685.1,0,0,13685.1
Chad,Logone Occidental,Dodjé,151192,2,107346.32,37798,6047.68,0,0,6047.68
Chad,Logone Occidental,Gueni,130796,2,96789.04,30083.08,3923.88,0,0,3923.88
Chad,Logone Occidental,Lac Weye,471215,2,367547.7,94243,9424.3,0,0,9424.3
Chad,Logone Occidental,Ngourkousso,226260,2,169695,49777.2,6787.8,0,0,6787.8
Chad,Mandoul,Barh Sara,308818,1,253230.76,43234.52,12352.72,0,0,12352.72
Chad,Mandoul,Mandoul Occident,219900,1,182517,32985,4398,0,0,4398
Chad,Mandoul,Mandoul Oriental,364064,2,276688.64,76453.44,10921.92,0,0,10921.92
Chad,BATHA,Batha Ouest,281044,2,191109.92,75881.88,14052.2,0,0,14052.2
Chad,BATHA,Batha Est,256354,2,207646.74,43580.18,5127.08,0,0,5127.08
Chad,BATHA,Fitri,156936,2,112993.92,39234,4708.08,0,0,4708.08
Chad,ENNEDI EST,Am Djaras,112881,2,81274.32,28220.25,3386.43,0,0,3386.43
Chad,ENNEDI EST,Wadi Hawar,39647,3,19427.03,11101.16,8325.87,792.94,0,9118.81
Chad,ENNEDI OUEST,Fada,55870,3,26817.6,16202.3,11732.7,1117.4,0,12850.1
Chad,ENNEDI OUEST,Mourtcha,30296,2,21813.12,7271.04,1211.84,0,0,1211.84
Chad,OUADDAÏ,Ouara,467165,1,383075.3,74746.4,9343.3,0,0,9343.3
Chad,OUADDAÏ,Abdi,151929,1,126101.07,24308.64,1519.29,0,0,1519.29
Chad,OUADDAÏ,Assoungha,406029,1,332943.78,69024.93,4060.29,0,0,4060.29
Chad,WADI FIRA,Biltine,240301,2,168210.7,62478.26,9612.04,0,0,9612.04
Chad,WADI FIRA,Darh Tama,254985,2,183589.2,63746.25,7649.55,0,0,7649.55
Chad,WADI FIRA,Kobé,198338,2,142803.36,47601.12,7933.52,0,0,7933.52
Chad,WADI FIRA,Mégri,29032,2,21483.68,6677.36,870.96,0,0,870.96
Chad,Hadjer Lamis,Haraze Al Biar ,213322,1,183670.242,25598.64,4053.118,0,0,4053.118
Chad,Hadjer Lamis,Dababa,324723,2,256531.17,61697.37,6494.46,0,0,6494.46
Chad,Hadjer Lamis,Dagana,267733,1,224895.72,42837.28,0,0,0,0
Chad,Guera,Mangalmé,134908,2,98482.84,28330.68,8094.48,0,0,8094.48
Chad,Guera,Guera,245130,2,186298.8,49026,9805.2,0,0,9805.2
Chad,Guera,Bahr Signaka,147226,1,126614.36,19139.38,1472.26,0,0,1472.26
Chad,Guera,Abtouyour,238003,2,183262.31,49980.63,4760.06,0,0,4760.06
Chad,Moyen Chari,Bahr Kôh,436075,2,340138.5,87215,8721.5,0,0,8721.5
Chad,Moyen Chari,Lac Iro,247615,2,188187.4,51999.15,7428.45,0,0,7428.45
Chad,Moyen Chari,Grande Sido,152152,2,112592.48,33473.44,6086.08,0,0,6086.08
Chad,Sila,Kimiti,434878,1,387041.42,47836.58,0,0,0,0
Chad,Sila,Djourf Al Amar,115890,2,85758.6,27813.6,2317.8,0,0,2317.8
Chad,Salamat,Bahr Azoum,259004,1,220153.4,36260.56,2590.04,0,0,2590.04
Chad,Salamat,Aboudéia,91940,2,69874.4,17468.6,4597,0,0,4597
Chad,Salamat,Haraze Manguegne,78771,1,66167.64,11815.65,787.71,0,0,787.71
Chad,Kanem,Kanem,217737,2,130642.2,69675.84,17418.96,0,0,17418.96
Chad,Kanem,Nord Kanem,129305,2,89220.45,32326.25,7758.3,0,0,7758.3
Chad,Kanem,Wadi-Bissam,126861,2,88802.7,27909.42,10148.88,0,0,10148.88
Chad,Lac,Mamdi,198564,3,91339.44,57583.56,43684.08,5956.92,0,49641
Chad,Lac,Wayi,299778,3,140895.66,89933.4,62953.38,5995.56,0,68948.94
Chad,Lac,Fouli,55300,3,21021.6,21021.6,12170.4,1106.4,0,13276.8
Chad,Lac,Kaya,62963,3,30851.87,18888.9,11962.97,1259.26,0,13222.23
Chad,Bahr El Gazal,Barh-El-Gazal Sud,200861,2,145825.086,40975.644,14060.27,0,0,14060.27
Chad,Bahr El Gazal,Barh-El-Gazal Ouest,76862,2,56416.708,16602.192,3843.1,0,0,3843.1
Chad,Bahr El Gazal,Barh-El-Gazal Nord,87977,3,42228.96,26393.1,17595.4,1759.54,0,19354.94
Chad,Borkou,Borkou,97187,3,45677.89,31099.84,18465.53,1943.74,0,20409.27
Chad,Borkou,Borkou Yala,35841,3,17920.5,10393.89,6809.79,716.82,0,7526.61
Chad,Tibesti,Tibesti Est,20451,3,10634.52,5521.77,3681.18,613.53,0,4294.71
Chad,Tibesti,Tibesti Ouest,15773,3,7728.77,4100.98,3470.06,473.19,0,3943.25
