country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Chad,Logone Occidental,Lac Wey,439870,1,395883,43987,0,0,0,0
Chad,Logone Occidental,Dodje,141134,1,129843.28,11290.72,0,0,0,0
Chad,Logone Occidental,Gueni,122096,1,102560.64,18314.4,1220.96,0,0,1220.96
Chad,Logone Occidental,Ngourkosso,211209,1,175303.47,31681.35,4224.18,0,0,4224.18
Chad,Logone Oriental,La Pende,212913,1,174588.66,38324.34,0,0,0,0
Chad,Logone Oriental,Kouh Est,134484,1,125070.12,9413.88,0,0,0,0
Chad,Logone Oriental,Kouh Ouest,65703,1,59132.7,6570.3,0,0,0,0
Chad,Logone Oriental,La nya,187017,1,155224.11,31792.89,0,0,0,0
Chad,Logone Oriental,La Nya Pende,143427,1,127650.03,14342.7,1434.27,0,0,1434.27
Chad,Logone Oriental,Monts de Lam,290581,1,249899.66,40681.34,0,0,0,0
Chad,Mandoul,Barh Sara,288276,1,245034.6,43241.4,0,0,0,0
Chad,Mandoul,Mandoul Oriental,339847,1,285471.48,54375.52,0,0,0,0
Chad,Mandoul,Mandoul Occidental,205273,1,168323.86,34896.41,2052.73,0,0,2052.73
Chad,Tandjile,Tandjile Centre,116779,1,100429.94,16349.06,0,0,0,0
Chad,Tandjile,Tandjile Est,337881,1,283820.04,54060.96,0,0,0,0
Chad,Tandjile,Tandjile Ouest,423639,1,351620.37,72018.63,0,0,0,0
Chad,Chari-Baguirmi,Baguirmi,278284,1,230975.72,38959.76,8348.52,0,0,8348.52
Chad,Chari-Baguirmi,Chari,242698,1,201439.34,33977.72,7280.94,0,0,7280.94
Chad,Chari-Baguirmi,Loug Chari,246544,1,204631.52,36981.6,4930.88,0,0,4930.88
Chad,Mayo Kebbi Est,Mayo Boneye,313112,1,288063.04,25048.96,0,0,0,0
Chad,Mayo Kebbi Est,Mayo Lemye,108875,1,103431.25,5443.75,0,0,0,0
Chad,Mayo Kebbi Est,La Kabbia,303645,1,252025.35,51619.65,0,0,0,0
Chad,Mayo Kebbi Est,Mont Illi,302445,1,269176.05,33268.95,0,0,0,0
Chad,Mayo-Kebbi Ouest,Lac Lere,231978,1,211099.98,20878.02,0,0,0,0
Chad,Mayo-Kebbi Ouest,Mayo-Binder,72849,1,66292.59,6556.41,0,0,0,0
Chad,Mayo-Kebbi Ouest,Mayo Dallah,444181,1,413088.33,31092.67,0,0,0,0
Chad,Batha,Batha Ouest,262349,2,102316.11,144291.95,15740.94,0,0,15740.94
Chad,Batha,Batha Est,239302,2,119651,100506.84,19144.16,0,0,19144.16
Chad,Batha,Fittri,146496,1,123056.64,20509.44,2929.92,0,0,2929.92
Chad,Barh-El-Gazel,Barh-El-Gazel Sud,187500,1,163125,24375,0,0,0,0
Chad,Barh-El-Gazel,Barh-El-Gazel Ouest,71749,2,46636.85,23677.17,1434.98,0,0,1434.98
Chad,Barh-El-Gazel,Barh-El-Gazel Nord,82125,2,62415,17246.25,2463.75,0,0,2463.75
Chad,Kanem,Nord Kanem,120704,2,89320.96,30176,1207.04,0,0,1207.04
Chad,Kanem,Wadi Bissam,118423,1,104212.24,14210.76,0,0,0,0
Chad,Kanem,Kanem,203253,2,138212.04,54878.31,10162.65,0,0,10162.65
Chad,Hadjer-Lamis,Dagana,249924,1,207436.92,34989.36,7497.72,0,0,7497.72
Chad,Hadjer-Lamis,Dababa,303123,1,254623.32,39405.99,9093.69,0,0,9093.69
Chad,Hadjer-Lamis,Haraze Al Biar,199132,1,169262.2,23895.84,5973.96,0,0,5973.96
Chad,Salamat,Bahr Azoum,241775,1,203091,31430.75,7253.25,0,0,7253.25
Chad,Salamat,Aboudeia,85824,1,74666.88,9440.64,1716.48,0,0,1716.48
Chad,Salamat,Haraze Mangueigne,73532,1,63237.52,8088.52,2205.96,0,0,2205.96
Chad,Moyen-Chari,Bahr Koh,407067,1,337865.61,56989.38,12212.01,0,0,12212.01
Chad,Moyen-Chari,Lac Iro,231144,1,194160.96,32360.16,4622.88,0,0,4622.88
Chad,Moyen-Chari,Grande Sido,142031,1,120726.35,18464.03,2840.62,0,0,2840.62
Chad,Sila,Kimiti,405950,1,340998,52773.5,12178.5,0,0,12178.5
Chad,Sila,Djourf Al Ahmar,108181,1,89790.23,14063.53,4327.24,0,0,4327.24
Chad,Guera,Guera,228824,2,151023.84,54917.76,22882.4,0,0,22882.4
Chad,Guera,Mangalme,125934,2,79338.42,34002.18,12593.4,0,0,12593.4
Chad,Guera,Abtouyour,222171,2,151076.28,46655.91,24438.81,0,0,24438.81
Chad,Guera,Barh Signaka,137432,1,112694.24,19240.48,5497.28,0,0,5497.28
Chad,Lac,Mamdi,158969.999470604,2,92202.5996929504,39742.499867651,27024.8999100027,0,0,27024.8999100027
Chad,Lac,Fouli,80776.8278453889,2,51697.1698210489,17770.9021259856,11308.7558983545,0,0,11308.7558983545
Chad,Lac,Kaya,56023.1726840071,2,33053.6718835642,13445.5614441617,9523.9393562812,0,0,9523.9393562812
Chad,Lac,Wayi,279836,2,176296.68,69959,33580.32,0,0,33580.32
Chad,Ouaddai,Abdi,141823,2,103530.79,34037.52,4254.69,0,0,4254.69
Chad,Ouaddai,Assoungha,379020,2,227412,109915.8,41692.2,0,0,41692.2
Chad,Ouaddai,Ouara,436090,2,270375.8,122105.2,43609,0,0,43609
Chad,Wadi Fira,Biltine,238024,2,152335.36,69026.96,16661.68,0,0,16661.68
Chad,Wadi Fira,Megri,224317,2,148049.22,60565.59,15702.19,0,0,15702.19
Chad,Wadi Fira,Iriba,185144,2,114789.28,51840.32,18514.4,0,0,18514.4
Chad,Wadi Fira,Dar Tama,27101,2,19512.72,5962.22,1626.06,0,0,1626.06
Chad,Ennedi-Est,Am-Djarass,105372,2,65330.64,33719.04,6322.32,0,0,6322.32
Chad,Ennedi-Est,Wadi Hawar,37009,2,22575.49,11842.88,2590.63,0,0,2590.63
Chad,Ennedi Ouest,Fada,52153,2,33899.45,14602.84,3650.71,0,0,3650.71
Chad,Ennedi Ouest,Mourtcha,28281,2,18382.65,7918.68,1979.67,0,0,1979.67
Chad,Borkou,Borkou Yala,33457,1,28103.88,5353.12,0,0,0,0
Chad,Borkou,Borkou,90722,1,68948.72,21773.28,0,0,0,0
Chad,Tibesti,Tibesti Est,33814,1,31108.88,2705.12,0,0,0,0
