country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
TOGO,Centrale,Blitta,158117,1,135980.62,22136.38,0,0,0,0
TOGO,Centrale,Plaine de Mô,42971,1,39533.32,3437.68,0,0,0,0
TOGO,Centrale,Sotouboua,138999,1,118149.15,20849.85,0,0,0,0
TOGO,Centrale,Tchamba,151244,1,127044.96,22686.6,1512.44,0,0,1512.44
TOGO,Centrale,Tchaoudjo,218369,1,176878.89,34939.04,6551.07,0,0,6551.07
TOGO,Kara,Assoli,56962,2,35886.06,19936.7,1139.24,0,0,1139.24
TOGO,Kara,Bassar,132437,1,115220.19,17216.81,0,0,0,0
TOGO,Kara,Binah,77497,1,63547.54,12399.52,1549.94,0,0,1549.94
TOGO,Kara,Dankpen,144612,1,125812.44,18799.56,0,0,0,0
TOGO,Kara,Doufelgou,86990,2,53933.8,29576.6,3479.6,0,0,3479.6
TOGO,Kara,Keran,104055,2,63473.55,35378.7,5202.75,0,0,5202.75
TOGO,Kara,Kozah,249192,2,156990.96,87217.2,4983.84,0,0,4983.84
TOGO,Maritime,Ave,114295,2,91436,22859,0,0,0,0
TOGO,Maritime,Bas-Mono,103799,1,85115.18,18683.82,0,0,0,0
TOGO,Maritime,Lacs,201122,2,120673.2,70392.7,10056.1,0,0,10056.1
TOGO,Maritime,Vo,245432,2,159530.8,73629.6,12271.6,0,0,12271.6
TOGO,Maritime,Yoto,193467,2,154773.6,38693.4,0,0,0,0
TOGO,Maritime,Zio,344787,2,251694.51,86196.75,6895.74,0,0,6895.74
TOGO,Plateaux,Agou,257047,1,218489.95,38557.05,0,0,0,0
TOGO,Plateaux,Akébou,70700,2,53025,17675,0,0,0,0
TOGO,Plateaux,Amou,119366,1,109816.72,9549.28,0,0,0,0
TOGO,Plateaux,Anié,108006,2,84244.68,23761.32,0,0,0,0
TOGO,Plateaux,Danyi,44004,1,39603.6,4400.4,0,0,0,0
TOGO,Plateaux,Est-Mono,138332,1,118965.52,19366.48,0,0,0,0
TOGO,Plateaux,Haho,281478,1,211108.5,70369.5,0,0,0,0
TOGO,Plateaux,Kloto,157929,2,126343.2,31585.8,0,0,0,0
TOGO,Plateaux,Kpélé,86198,1,79302.16,6895.84,0,0,0,0
TOGO,Plateaux,Moyen-Mono,87784,1,74616.4,13167.6,0,0,0,0
TOGO,Plateaux,Ogou,257047,2,203067.13,53979.87,0,0,0,0
TOGO,Plateaux,Wawa,114689,1,97485.65,17203.35,0,0,0,0
TOGO,Savanes,Cinkassé,91909,1,71689.02,18381.8,1838.18,0,0,1838.18
TOGO,Savanes,Kpendjal,181369,1,150536.27,29019.04,1813.69,0,0,1813.69
TOGO,Savanes,Oti,222828,1,191632.08,28967.64,2228.28,0,0,2228.28
TOGO,Savanes,Tandjouare,137431,2,79709.98,54972.4,2748.62,0,0,2748.62
TOGO,Savanes,Tone,335020,2,264665.8,67004,3350.2,0,0,3350.2
