adm0_name,adm0_code,adm0_pcod3,adm0_pcod2,adm1_name,adm1_code,adm1_pcod3,adm1_pcod2,adm2_name,adm2_code,adm2_pcod3,adm2_pcod2
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Bale,154444,BFA046001,BF4601
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Banwa,154442,BFA046002,BF4602
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Kossi,154443,BFA046003,BF4603
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Mouhoun,154445,BFA046004,BF4604
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Nayala,154446,BFA046005,BF4605
Burkina Faso,42,BFA,BF,Boucle Du Mouhoun,40276,BFA046,BF46,Sourou,154447,BFA046006,BF4606
Burkina Faso,42,BFA,BF,Cascades,40277,BFA047,BF47,Comoe,154448,BFA047001,BF4701
Burkina Faso,42,BFA,BF,Cascades,40277,BFA047,BF47,Leraba,154449,BFA047002,BF4702
Burkina Faso,42,BFA,BF,Centre,40278,BFA013,BF13,Kadiogo,154450,BFA013000,BF1300
Burkina Faso,42,BFA,BF,Centre,40278,BFA013,BF13,Kadiogo,154450,BFA013000,BF1300
Burkina Faso,42,BFA,BF,Centre-Est,40279,BFA048,BF48,Boulgou,154451,BFA048001,BF4801
Burkina Faso,42,BFA,BF,Centre-Est,40279,BFA048,BF48,Kouritenga,154453,BFA048003,BF4803
Burkina Faso,42,BFA,BF,Centre-Est,40279,BFA048,BF48,Koulpelogo,154452,BFA048002,BF4802
Burkina Faso,42,BFA,BF,Centre-Nord,40280,BFA049,BF49,Bam,154454,BFA049001,BF4901
Burkina Faso,42,BFA,BF,Centre-Nord,40280,BFA049,BF49,Namentenga,154455,BFA049002,BF4902
Burkina Faso,42,BFA,BF,Centre-Nord,40280,BFA049,BF49,Sanmatenga,154456,BFA049003,BF4903
Burkina Faso,42,BFA,BF,Centre-Ouest,40281,BFA050,BF50,Boulkiemde,154457,BFA050001,BF5001
Burkina Faso,42,BFA,BF,Centre-Ouest,40281,BFA050,BF50,Sanguie,154458,BFA050002,BF5002
Burkina Faso,42,BFA,BF,Centre-Ouest,40281,BFA050,BF50,Sissili,154459,BFA050003,BF5003
Burkina Faso,42,BFA,BF,Centre-Ouest,40281,BFA050,BF50,Ziro,154460,BFA050004,BF5004
Burkina Faso,42,BFA,BF,Centre-Sud,40282,BFA051,BF51,Bazega,154461,BFA051001,BF5101
Burkina Faso,42,BFA,BF,Centre-Sud,40282,BFA051,BF51,Nahouri,154462,BFA051002,BF5102
Burkina Faso,42,BFA,BF,Centre-Sud,40282,BFA051,BF51,Zoundweogo,154463,BFA051003,BF5103
Burkina Faso,42,BFA,BF,Est,40283,BFA052,BF52,Gnagna,154464,BFA052001,BF5201
Burkina Faso,42,BFA,BF,Est,40283,BFA052,BF52,Gourma,154465,BFA052002,BF5202
Burkina Faso,42,BFA,BF,Est,40283,BFA052,BF52,Komonjdjari,154466,BFA052003,BF5203
Burkina Faso,42,BFA,BF,Est,40283,BFA052,BF52,Tapoa,154468,BFA052005,BF5205
Burkina Faso,42,BFA,BF,Est,40283,BFA052,BF52,Kompienga,154467,BFA052004,BF5204
Burkina Faso,42,BFA,BF,Hauts-Bassins,40284,BFA053,BF53,Houet,154469,BFA053001,BF5301
Burkina Faso,42,BFA,BF,Hauts-Bassins,40284,BFA053,BF53,Kenedougou,154470,BFA053002,BF5302
Burkina Faso,42,BFA,BF,Hauts-Bassins,40284,BFA053,BF53,Tuy,154471,BFA053003,BF5303
Burkina Faso,42,BFA,BF,Nord,40285,BFA054,BF54,Passore,154473,BFA054002,BF5402
Burkina Faso,42,BFA,BF,Nord,40285,BFA054,BF54,Yatenga,154474,BFA054003,BF5403
Burkina Faso,42,BFA,BF,Nord,40285,BFA054,BF54,Loroum,154472,BFA054001,BF5401
Burkina Faso,42,BFA,BF,Nord,40285,BFA054,BF54,Zondoma,154475,BFA054004,BF5404
Burkina Faso,42,BFA,BF,Plateau Central,40286,BFA055,BF55,Ganzourgou,154476,BFA055001,BF5501
Burkina Faso,42,BFA,BF,Plateau Central,40286,BFA055,BF55,Oubritenga,154478,BFA055003,BF5503
Burkina Faso,42,BFA,BF,Plateau Central,40286,BFA055,BF55,Kourweogo,154477,BFA055002,BF5502
Burkina Faso,42,BFA,BF,Sahel,40287,BFA056,BF56,Oudalan,154479,BFA056001,BF5601
Burkina Faso,42,BFA,BF,Sahel,40287,BFA056,BF56,Seno,154480,BFA056002,BF5602
Burkina Faso,42,BFA,BF,Sahel,40287,BFA056,BF56,Soum,154481,BFA056003,BF5603
Burkina Faso,42,BFA,BF,Sahel,40287,BFA056,BF56,Yagha,154482,BFA056004,BF5604
Burkina Faso,42,BFA,BF,Sud-Ouest,40288,BFA057,BF57,Bougouriba,154483,BFA057001,BF5701
Burkina Faso,42,BFA,BF,Sud-Ouest,40288,BFA057,BF57,Ioba,154484,BFA057002,BF5702
Burkina Faso,42,BFA,BF,Sud-Ouest,40288,BFA057,BF57,Noumbiel,154485,BFA057003,BF5703
Burkina Faso,42,BFA,BF,Sud-Ouest,40288,BFA057,BF57,Poni,154486,BFA057004,BF5704
Mali,155,MLI,ML,Tombouctou,1934,MLI006,ML06,Tombouctou,19420,MLI006005,ML0605
Mali,155,MLI,ML,Tombouctou,1934,MLI006,ML06,Gourma-Rharous,19418,MLI006003,ML0603
Mali,155,MLI,ML,Tombouctou,1934,MLI006,ML06,Goundam,19417,MLI006002,ML0602
Mali,155,MLI,ML,Tombouctou,1934,MLI006,ML06,Niafunke,19419,MLI006004,ML0604
Mali,155,MLI,ML,Tombouctou,1934,MLI006,ML06,Dire,19416,MLI006001,ML0601
Mali,155,MLI,ML,Kidal,1929,MLI008,ML08,Abeibara,19383,MLI008001,ML0801
Mali,155,MLI,ML,Kidal,1929,MLI008,ML08,Tessalit,19385,MLI008003,ML0803
Mali,155,MLI,ML,Kidal,1929,MLI008,ML08,Tin-Essako,19386,MLI008004,ML0804
Mali,155,MLI,ML,Kidal,1929,MLI008,ML08,Kidal,19384,MLI008002,ML0802
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Koulikoro,19392,MLI002006,ML0206
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Banamba,19387,MLI002001,ML0201
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Dioila,19388,MLI002002,ML0202
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kangaba,19389,MLI002003,ML0203
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kati,19390,MLI002004,ML0204
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kolokani,19391,MLI002005,ML0205
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Nara,19393,MLI002007,ML0207
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kenieba,19379,MLI001004,ML0104
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Bafoulabe,19376,MLI001001,ML0101
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kita,19380,MLI001005,ML0105
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kayes,19378,MLI001003,ML0103
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Diema,19377,MLI001002,ML0102
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Nioro,19381,MLI001006,ML0106
