adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm0_code,adm0_pcod3
Benin,Alibori,Alibori,609,BEN001,29,BEN
Benin,Atacora,Atacora,610,BEN002,29,BEN
Benin,Atlantique,Atlantique,611,BEN003,29,BEN
Benin,Borgou,Borgou,612,BEN004,29,BEN
Benin,Collines,Collines,613,BEN005,29,BEN
Benin,Couffo,Couffo,614,BEN006,29,BEN
Benin,Donga,Donga,615,BEN007,29,BEN
Benin,Littoral,Littoral,616,BEN008,29,BEN
Benin,Mono,Mono,617,BEN009,29,BEN
Benin,Oueme,Oueme,618,BEN010,29,BEN
Benin,Plateau,Plateau,619,BEN011,29,BEN
Benin,Zou,Zou,620,BEN012,29,BEN
Cameroon,Adamaoua,Adamaoua,815,CMR001,NA,NA
Cameroon,Centre,Centre,816,CMR002,NA,NA
Cameroon,Est,Est,817,CMR003,NA,NA
Cameroon,Extreme-Nord,Extreme-Nord,818,CMR004,NA,NA
Cameroon,Littoral,Littoral,819,CMR005,NA,NA
Cameroon,Nord,Nord,820,CMR006,NA,NA
Cameroon,Nord-Ouest,Nord-Ouest,821,CMR007,NA,NA
Cameroon,Ouest,Ouest,822,CMR008,NA,NA
Cameroon,Sud,Sud,823,CMR009,NA,NA
Cameroon,Sud-Ouest,Sud-Ouest,824,CMR010,NA,NA
Cabo Verde,Boa Vista,Boa Vista,838,CPV01,47,CPV
Cabo Verde,Brava,Brava,839,CPV02,47,CPV
Cabo Verde,Fogo,Fogo,841,CPV06,47,CPV
Cabo Verde,Maio,Maio,844,CPV03,47,CPV
Cabo Verde,Sal,Sal,846,CPV01,47,CPV
Cabo Verde,Santiago,Santiago,848,CPV02,47,CPV
Cabo Verde,Santo Antao,Santo Antao,849,CPV09,47,CPV
Cabo Verde,Sao Nicolau,Sao Nicolau,850,CPV08,47,CPV
Cabo Verde,Sao Vicente,Sao Vicente,851,CPV00,47,CPV
Central African Republic,Bamingui-Bangoran,Bamingui-Bangoran,853,CAF051,NA,NA
Central African Republic,Basse-Kotto,Basse-Kotto,854,CAF061,NA,NA
Central African Republic,Haut-Mbomou,Haut-Mbomou,855,CAF063,NA,NA
Central African Republic,Haute-Kotto,Haute-Kotto,856,CAF052,NA,NA
Central African Republic,Kemo,Kemo,857,CAF041,NA,NA
Central African Republic,Lobaye,Lobaye,858,CAF012,NA,NA
Central African Republic,Mambere Kadei,Mambere Kadei,859,CAF021,NA,NA
Central African Republic,Mbomou,Mbomou,860,CAF062,NA,NA
Central African Republic,Nana-Gribizi,Nana-Gribizi,861,CAF042,NA,NA
Central African Republic,Nana-Mambere,Nana-Mambere,862,CAF022,NA,NA
Central African Republic,Ombella M'Poko,Ombella M'Poko,863,CAF011,NA,NA
Central African Republic,Ouaka,Ouaka,864,CAF043,NA,NA
Central African Republic,Ouham,Ouham,865,CAF032,NA,NA
Central African Republic,Ouham Pende,Ouham Pende,866,CAF031,NA,NA
Central African Republic,Sangha-Mbaere,Sangha-Mbaere,867,CAF023,NA,NA
Central African Republic,Vakaga,Vakaga,868,CAF053,NA,NA
Chad,Wadi Fira,Wadi Fira,870,TCD017,50,TCD
Chad,Guera,Guera,873,TCD004,50,TCD
Chad,Lac,Lac,875,TCD007,50,TCD
Chad,Logone Occidental,Logone Occidental,876,TCD008,50,TCD
Chad,Salamat,Salamat,881,TCD015,50,TCD
Gambia,Janjanbureh,Janjanbureh,1285,GMB004,90,GMB
Gambia,Kuntaur,Kuntaur,1286,GMB007,90,GMB
Gambia,Mansa Konko,Mansa Konko,1287,GMB008,90,GMB
Gambia,Kerewan,Kerewan,1288,GMB006,90,GMB
Gambia,Basse,Basse,1289,GMB002,90,GMB
Gambia,Brikama,Brikama,1290,GMB003,90,GMB
Ghana,Ashanti,Ashanti,1324,GHA024,94,GHA
