adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Senegal,Tambacounda,Tambacounda,1377,SEN012,Bakel,Bakel,1379,SEN012001,217,SEN
Senegal,Kaffrine,Kaffrine,1378,SEN004,Birkelane,Birkelane,1380,SEN004001,217,SEN
Senegal,Sedhiou,Sedhiou,1376,SEN011,Bounkiling,Bounkiling,1381,SEN011001,217,SEN
Senegal,Dakar,Dakar,2636,SEN001,Dakar,Dakar,1382,SEN001001,217,SEN
Senegal,Fatick,Fatick,47586,SEN003,Gossas,Gossas,1383,SEN003003,217,SEN
Senegal,Tambacounda,Tambacounda,1377,SEN012,Goudiry,Goudiry,1384,SEN012002,217,SEN
Senegal,Sedhiou,Sedhiou,1376,SEN011,Goudomp,Goudomp,1394,SEN011002,217,SEN
Senegal,Kaolack,Kaolack,1373,SEN005,Guinguineo,Guinguineo,1395,SEN005001,217,SEN
Senegal,Kaffrine,Kaffrine,1378,SEN004,Kaffrine,Kaffrine,1396,SEN004002,217,SEN
Senegal,Kedougou,Kedougou,1374,SEN006,Kedougou,Kedougou,1397,SEN006001,217,SEN
Senegal,Dakar,Dakar,2636,SEN001,Guediawaye,Guediawaye,1398,SEN001002,217,SEN
Senegal,Dakar,Dakar,2636,SEN001,Pikine,Pikine,1399,SEN001003,217,SEN
Senegal,Kolda,Kolda,1375,SEN007,Kolda,Kolda,1408,SEN007001,217,SEN
Senegal,Kaffrine,Kaffrine,1378,SEN004,Koungheul,Koungheul,1486,SEN004003,217,SEN
Senegal,Tambacounda,Tambacounda,1377,SEN012,Koumpentoum,Koumpentoum,1488,SEN012003,217,SEN
Senegal,Kaffrine,Kaffrine,1378,SEN004,Malem Hodar,Malem Hodar,1497,SEN004005,217,SEN
Senegal,Kolda,Kolda,1375,SEN007,Medina Yoro Foulah,Medina Yoro Foulah,1499,SEN007002,217,SEN
Senegal,Kedougou,Kedougou,1374,SEN006,Salemata,Salemata,1510,SEN006002,217,SEN
Senegal,Kedougou,Kedougou,1374,SEN006,Saraya,Saraya,1538,SEN006003,217,SEN
Senegal,Sedhiou,Sedhiou,1376,SEN011,Sedhiou,Sedhiou,1609,SEN011003,217,SEN
Senegal,Tambacounda,Tambacounda,1377,SEN012,Tambacounda,Tambacounda,1649,SEN012004,217,SEN
Nigeria,Ouham,Ouham,865,NGA020,Kabo,Kabo,12896,NGA020020,182,NGA
Mali,Gao,Gao,1927,MLI007,Ansongo,Ansongo,19372,MLI007001,155,MLI
Mali,Gao,Gao,1927,MLI007,Bourem,Bourem,19373,MLI007002,155,MLI
Mali,Gao,Gao,1927,MLI007,Gao,Gao,19374,MLI007003,155,MLI
Mali,Gao,Gao,1927,MLI007,Menaka,Menaka,19375,MLI007004,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Bafoulabe,Bafoulabe,19376,MLI001001,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Diema,Diema,19377,MLI001002,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Kayes,Kayes,19378,MLI001003,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Kenieba,Kenieba,19379,MLI001004,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Kita,Kita,19380,MLI001005,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Nioro,Nioro,19381,MLI001006,155,MLI
Mali,Kayes,Kayes,1928,MLI001,Yelimane,Yelimane,19382,MLI001007,155,MLI
