country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Burkina Faso,Centre,Kadiogo,2493864.4500000002,1,2493864.45,33880.4069796932,0,0,0,0
Burkina Faso,Plateau Central,Ganzourgou,398770.02,1,398770.02,4027.98,0,0,0,0
Burkina Faso,Plateau Central,Oubritenga,296379.67149822402,1,296379.671498224,1783.32850177633,0,0,0,0
Burkina Faso,Plateau Central,Kourweogo,131898.77748643799,2,131898.777486438,34094.8,4480.42251356164,0,0,4480.42251356164
Burkina Faso,Centre-Nord,Bam,282472,2,282472,67087.1,3530.9,0,0,3530.9
Burkina Faso,Centre-Nord,Namentenga,337540,2,337540,71727.25,12657.75,0,0,12657.75
Burkina Faso,Centre-Nord,Sanmatenga,611690.4,2,611690.4,145276.47,7646.13,0,0,7646.13
Burkina Faso,Centre-Ouest,Boulkiemde,621352.71,2,621352.71,6276.29,0,0,0,0
Burkina Faso,Centre-Ouest,Sanguie,360660.58,1,360660.58,7360.42,0,0,0,0
Burkina Faso,Centre-Ouest,Sissili,268615.71000000002,1,268615.71,2713.29,0,0,0,0
Burkina Faso,Centre-Ouest,Ziro,229124.67,1,229124.67,7086.33,0,0,0,0
Burkina Faso,Centre-Sud,Bazega,216299.25,2,216299.25,57679.8,14390.9675987263,0,0,14390.9675987263
Burkina Faso,Centre-Sud,Nahouri,159512.85,2,159512.85,40383,2585.49510657265,0,0,2585.49510657265
Burkina Faso,Centre-Sud,Zoundweogo,242025.42,2,242025.42,62057.8,5145.09057645361,0,0,5145.09057645361
Burkina Faso,Sahel,Oudalan,54675.6,3,54675.6,117162,78108,10414.4,0,88522.4
Burkina Faso,Sahel,Seno,330898.03999999998,2,330898.04,6822.64,3411.32,0,0,3411.32
Burkina Faso,Sahel,Soum,304604.78000000003,2,304604.78,136390.2,13639.02,0,0,13639.02
Burkina Faso,Sahel,Yagha,207685.17,2,207685.17,2097.83,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Kossi,316370.72024162702,1,316370.720241627,31053.2797583732,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Mouhoun,369666.78,1,369666.78,7544.22,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Sourou,217576,2,217576,35356.1,19037.9,0,0,19037.9
Burkina Faso,Boucle du Mouhoun,Bale,265789.71999999997,1,265789.72,5424.28,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Banwa,333226.60913042899,1,333226.609130429,7272.3908695709,0,0,0,0
Burkina Faso,Boucle du Mouhoun,Nayala,162610.4,2,162610.4,28456.82,12195.78,0,0,12195.78
Burkina Faso,Est,Gnagna,422238.4,2,422238.4,100281.62,5277.98,0,0,5277.98
Burkina Faso,Est,Gourma,399659.41607648903,1,399659.416076489,2041.58392351051,0,0,0,0
Burkina Faso,Est,Tapoa,442654.023552984,1,442654.023552984,14796.9764470158,0,0,0,0
Burkina Faso,Est,Komonjdjari,108300.06,1,108300.06,1093.94,0,0,0,0
Burkina Faso,Est,Kompienga,109965.24,1,109965.24,1110.76,0,0,0,0
Burkina Faso,Centre-Est,Boulgou,691818.93,1,691818.93,6988.07,0,0,0,0
Burkina Faso,Centre-Est,Kouritenga,420984.63,1,420984.63,4252.37,0,0,0,0
Burkina Faso,Centre-Est,Koulpelogo,335922.84,1,335922.84,3380.93749629126,0,0,0,0
Burkina Faso,Nord,Loroum,180472.83024786299,2,180472.830247863,1822.95788129154,0,0,0,0
Burkina Faso,Nord,Passore,396835.94248144299,2,396835.942481443,4008.44386344892,0,0,0,0
Burkina Faso,Nord,Yatenga,690851.308872881,2,690851.308872881,6978.29604922102,0,0,0,0
Burkina Faso,Nord,Zondoma,209606.072660821,2,209606.072660821,4277.67495226165,0,0,0,0
Burkina Faso,Sud-Ouest,Bougouriba,127071.52081674901,1,127071.520816749,4004.4791832515,0,0,0,0
Burkina Faso,Sud-Ouest,Poni,313837.25,1,313837.25,6607.1,9910.65,0,0,9910.65
Burkina Faso,Sud-Ouest,Ioba,234482.108966161,1,234482.108966161,4078.89103383894,0,0,0,0
Burkina Faso,Sud-Ouest,Noumbiel,90003.843181204094,1,90003.8431812041,1349.15681879593,0,0,0,0
Burkina Faso,Hauts-Bassins,Houet,1254626.01,1,1254626.01,12672.99,0,0,0,0
Burkina Faso,Hauts-Bassins,Kenedougou,376869.24,1,376869.24,3806.76,0,0,0,0
Burkina Faso,Hauts-Bassins,Tuy,296394.12437532702,1,296394.124375327,6620.8756246733,0,0,0,0
Burkina Faso,Cascades,Comoe,569267.81999999995,1,569267.82,5750.18,0,0,0,0
Burkina Faso,Cascades,Leraba,155830.5,1,155830.5,5160.71726169818,0,0,0,0
